Time,c/kWh
2021-08-01 00:00,7.28
2021-08-02 00:00,9.97
2021-08-03 00:00,7.63
2021-08-04 00:00,9.06
2021-08-05 00:00,9.92
2021-08-06 00:00,9.4
2021-08-07 00:00,7.11
2021-08-08 00:00,3.82
2021-08-09 00:00,10.37
2021-08-10 00:00,10.8
2021-08-11 00:00,11
2021-08-12 00:00,11.67
2021-08-13 00:00,10.14
2021-08-14 00:00,7.85
2021-08-15 00:00,7.61
2021-08-16 00:00,10.5
2021-08-17 00:00,9.05
2021-08-18 00:00,7.2
2021-08-19 00:00,9.92
2021-08-20 00:00,9.26
2021-08-21 00:00,6.99
2021-08-22 00:00,7.14
2021-08-23 00:00,8.8
2021-08-24 00:00,12.09
2021-08-25 00:00,7.89
2021-08-26 00:00,8.55
2021-08-27 00:00,9.44
2021-08-28 00:00,7.72
2021-08-29 00:00,8.5
2021-08-30 00:00,12.46
2021-08-31 00:00,11.27
2021-09-01 00:00,9.81
2021-09-02 00:00,10.75
2021-09-03 00:00,8.98
2021-09-04 00:00,8.78
2021-09-05 00:00,9.33
2021-09-06 00:00,12.79
2021-09-07 00:00,9.67
2021-09-08 00:00,8.3
2021-09-09 00:00,11.59
2021-09-10 00:00,13
2021-09-11 00:00,12.11
2021-09-12 00:00,12.36
2021-09-13 00:00,9.32
2021-09-14 00:00,11.75
2021-09-15 00:00,17.78
2021-09-16 00:00,15.96
2021-09-17 00:00,13.39
2021-09-18 00:00,11.16
2021-09-19 00:00,10.38
2021-09-20 00:00,15.73
2021-09-21 00:00,14.73
2021-09-22 00:00,12.35
2021-09-23 00:00,8.2
2021-09-24 00:00,10.29
2021-09-25 00:00,10.25
2021-09-26 00:00,10.56
2021-09-27 00:00,11.51
2021-09-28 00:00,12.7
2021-09-29 00:00,13.97
2021-09-30 00:00,12.28
2021-10-01 00:00,8.26
2021-10-02 00:00,6.14
2021-10-03 00:00,2.15
2021-10-04 00:00,7.65
2021-10-05 00:00,8.62
2021-10-06 00:00,9.18
2021-10-07 00:00,12.36
2021-10-08 00:00,13
2021-10-09 00:00,10.4
2021-10-10 00:00,4.86
2021-10-11 00:00,10.68
2021-10-12 00:00,15.2
2021-10-13 00:00,20.13
2021-10-14 00:00,9.65
2021-10-15 00:00,5.64
2021-10-16 00:00,1.72
2021-10-17 00:00,6.45
2021-10-18 00:00,12.26
2021-10-19 00:00,17.86
2021-10-20 00:00,5.43
2021-10-21 00:00,8.13
2021-10-22 00:00,5.77
2021-10-23 00:00,10.01
2021-10-24 00:00,4.44
2021-10-25 00:00,10.35
2021-10-26 00:00,9.42
2021-10-27 00:00,11.81
2021-10-28 00:00,4.12
2021-10-29 00:00,5.63
2021-10-30 00:00,3.08
2021-10-31 00:00,7.37
2021-11-01 00:00,7.28
2021-11-02 00:00,7.47
2021-11-03 00:00,9.52
2021-11-04 00:00,10.69
2021-11-05 00:00,7.69
