cat,val1
15.01.2021+00:0005:00,101406.30
15.01.2021+00:0006:00,107811.90
15.01.2021+00:0007:00,54620.30
15.01.2021+00:0008:00,80368.30
15.01.2021+00:0009:00,86036.00
15.01.2021+00:0010:00,85973.20
15.01.2021+00:0011:00,69095.70
15.01.2021+00:0012:00,60900.30
15.01.2021+00:0013:00,57116.60
15.01.2021+00:0014:00,58278.40
15.01.2021+00:0015:00,58027.20
15.01.2021+00:0016:00,66599.40
15.01.2021+00:0017:00,91358.30
15.01.2021+00:0018:00,89474.30
15.01.2021+00:0019:00,86177.30
15.01.2021+00:0020:00,58655.20
15.01.2021+00:0021:00,43096.50
15.01.2021+00:0022:00,35701.80
15.01.2021+00:0023:00,21980.00
16.01.2021+00:0000:00,21452.20
16.01.2021+00:0001:00,18772.60
16.01.2021+00:0002:00,15939.00
16.01.2021+00:0003:00,13582.80
16.01.2021+00:0004:00,12828.20
16.01.2021+00:0005:00,11858.00
16.01.2021+00:0006:00,13629.00
16.01.2021+00:0007:00,19080.60
16.01.2021+00:0008:00,60183.20
16.01.2021+00:0009:00,61831.00
16.01.2021+00:0010:00,55239.80
16.01.2021+00:0011:00,48833.40
16.01.2021+00:0012:00,46785.20
16.01.2021+00:0013:00,64495.20
16.01.2021+00:0014:00,12812.80
16.01.2021+00:0015:00,44844.80
16.01.2021+00:0016:00,56579.60
16.01.2021+00:0017:00,54500.60
16.01.2021+00:0018:00,44660.00
16.01.2021+00:0019:00,30153.20
16.01.2021+00:0020:00,21021.00
16.01.2021+00:0021:00,14476.00
16.01.2021+00:0022:00,12489.40
16.01.2021+00:0023:00,7561.40
17.01.2021+00:0000:00,0.00
17.01.2021+00:0001:00,0.00
17.01.2021+00:0002:00,0.00
17.01.2021+00:0003:00,0.00
17.01.2021+00:0004:00,0.00
17.01.2021+00:0005:00,0.00
17.01.2021+00:0006:00,1808.80
17.01.2021+00:0007:00,4347.20
17.01.2021+00:0008:00,5776.00
17.01.2021+00:0009:00,11597.60
17.01.2021+00:0010:00,16963.20
