cat,val1
08.01.2021+00:0007:00,0.00
08.01.2021+00:0008:00,0.00
08.01.2021+00:0009:00,0.00
08.01.2021+00:0010:00,0.00
08.01.2021+00:0011:00,0.00
08.01.2021+00:0012:00,0.00
08.01.2021+00:0013:00,0.00
08.01.2021+00:0014:00,0.00
08.01.2021+00:0015:00,0.00
08.01.2021+00:0016:00,0.00
08.01.2021+00:0017:00,0.00
08.01.2021+00:0018:00,0.00
08.01.2021+00:0019:00,0.00
08.01.2021+00:0020:00,0.00
08.01.2021+00:0021:00,0.00
08.01.2021+00:0022:00,0.00
08.01.2021+00:0023:00,0.00
09.01.2021+00:0000:00,0.00
09.01.2021+00:0001:00,0.00
09.01.2021+00:0002:00,0.00
09.01.2021+00:0003:00,0.00
09.01.2021+00:0004:00,0.00
09.01.2021+00:0005:00,0.00
09.01.2021+00:0006:00,0.00
09.01.2021+00:0007:00,0.00
09.01.2021+00:0008:00,0.00
09.01.2021+00:0009:00,0.00
09.01.2021+00:0010:00,0.00
09.01.2021+00:0011:00,0.00
09.01.2021+00:0012:00,0.00
09.01.2021+00:0013:00,0.00
09.01.2021+00:0014:00,0.00
09.01.2021+00:0015:00,0.00
09.01.2021+00:0016:00,0.00
09.01.2021+00:0017:00,0.00
09.01.2021+00:0018:00,0.00
09.01.2021+00:0019:00,0.00
09.01.2021+00:0020:00,0.00
09.01.2021+00:0021:00,0.00
09.01.2021+00:0022:00,0.00
09.01.2021+00:0023:00,0.00
10.01.2021+00:0000:00,0.00
10.01.2021+00:0001:00,0.00
10.01.2021+00:0002:00,0.00
10.01.2021+00:0003:00,0.00
10.01.2021+00:0004:00,0.00
10.01.2021+00:0005:00,0.00
10.01.2021+00:0006:00,0.00
10.01.2021+00:0007:00,0.00
10.01.2021+00:0008:00,0.00
10.01.2021+00:0009:00,0.00
10.01.2021+00:0010:00,0.00
10.01.2021+00:0011:00,0.00
10.01.2021+00:0012:00,0.00
10.01.2021+00:0013:00,0.00
10.01.2021+00:0014:00,0.00
10.01.2021+00:0015:00,0.00
10.01.2021+00:0016:00,0.00
10.01.2021+00:0017:00,0.00
10.01.2021+00:0018:00,0.00
10.01.2021+00:0019:00,0.00
10.01.2021+00:0020:00,0.00
10.01.2021+00:0021:00,0.00
10.01.2021+00:0022:00,0.00
10.01.2021+00:0023:00,0.00
11.01.2021+00:0000:00,0.00
11.01.2021+00:0001:00,0.00
11.01.2021+00:0002:00,0.00
11.01.2021+00:0003:00,0.00
11.01.2021+00:0004:00,0.00
11.01.2021+00:0005:00,0.00
11.01.2021+00:0006:00,0.00
11.01.2021+00:0007:00,7782.56
11.01.2021+00:0008:00,3220.72
11.01.2021+00:0009:00,12100.56
11.01.2021+00:0010:00,11836.40
11.01.2021+00:0011:00,15544.80
11.01.2021+00:0012:00,19720.56
11.01.2021+00:0013:00,20391.12
11.01.2021+00:0014:00,13726.16
11.01.2021+00:0015:00,12080.24
11.01.2021+00:0016:00,17556.48
11.01.2021+00:0017:00,15697.20
11.01.2021+00:0018:00,15372.08
11.01.2021+00:0019:00,0.00
11.01.2021+00:0020:00,0.00
11.01.2021+00:0021:00,0.00
11.01.2021+00:0022:00,0.00
11.01.2021+00:0023:00,0.00
12.01.2021+00:0000:00,0.00
12.01.2021+00:0001:00,0.00
12.01.2021+00:0002:00,0.00
12.01.2021+00:0003:00,0.00
12.01.2021+00:0004:00,0.00
12.01.2021+00:0005:00,0.00
12.01.2021+00:0006:00,0.00
12.01.2021+00:0007:00,0.00
12.01.2021+00:0008:00,0.00
12.01.2021+00:0009:00,2570.48
12.01.2021+00:0010:00,3159.76
12.01.2021+00:0011:00,2580.64
12.01.2021+00:0012:00,9692.64
12.01.2021+00:0013:00,7000.24
12.01.2021+00:0014:00,2306.32
12.01.2021+00:0015:00,2255.52
12.01.2021+00:0016:00,447.04
12.01.2021+00:0017:00,0.00
12.01.2021+00:0018:00,0.00
12.01.2021+00:0019:00,0.00
12.01.2021+00:0020:00,0.00
12.01.2021+00:0021:00,0.00
12.01.2021+00:0022:00,0.00
12.01.2021+00:0023:00,0.00
13.01.2021 00:00,0
14.01.2021+00:0000:00,0.00
14.01.2021+00:0001:00,0.00
14.01.2021+00:0002:00,0.00
14.01.2021+00:0003:00,0.00
14.01.2021+00:0004:00,0.00
14.01.2021+00:0005:00,0.00
14.01.2021+00:0006:00,0.00
14.01.2021+00:0007:00,0.00
14.01.2021+00:0008:00,0.00
14.01.2021+00:0009:00,0.00
14.01.2021+00:0010:00,0.00
14.01.2021+00:0011:00,0.00
14.01.2021+00:0012:00,0.00
14.01.2021+00:0013:00,0.00
14.01.2021+00:0014:00,0.00
14.01.2021+00:0015:00,0.00
14.01.2021+00:0016:00,0.00
14.01.2021+00:0017:00,0.00
14.01.2021+00:0018:00,0.00
14.01.2021+00:0019:00,0.00
14.01.2021+00:0020:00,0.00
14.01.2021+00:0021:00,0.00
14.01.2021+00:0022:00,0.00
14.01.2021+00:0023:00,0.00
15.01.2021 00:00,0
16.01.2021 00:00,0
17.01.2021+00:0000:00,0.00
17.01.2021+00:0001:00,0.00
17.01.2021+00:0002:00,0.00
17.01.2021+00:0003:00,0.00
17.01.2021+00:0004:00,0.00
17.01.2021+00:0005:00,0.00
17.01.2021+00:0006:00,0.00
17.01.2021+00:0007:00,0.00
17.01.2021+00:0008:00,0.00
17.01.2021+00:0009:00,0.00
17.01.2021+00:0010:00,1778.00
17.01.2021+00:0011:00,1889.76
17.01.2021+00:0012:00,944.88
17.01.2021+00:0013:00,0.00
17.01.2021+00:0014:00,0.00
17.01.2021+00:0015:00,0.00
17.01.2021+00:0016:00,13827.76
17.01.2021+00:0017:00,7325.36
17.01.2021+00:0018:00,0.00
17.01.2021+00:0019:00,0.00
17.01.2021+00:0020:00,0.00
17.01.2021+00:0021:00,0.00
17.01.2021+00:0022:00,0.00
17.01.2021+00:0023:00,0.00
18.01.2021+00:0000:00,0.00
18.01.2021+00:0001:00,0.00
18.01.2021+00:0002:00,0.00
18.01.2021+00:0003:00,0.00
18.01.2021+00:0004:00,0.00
18.01.2021+00:0005:00,0.00
18.01.2021+00:0006:00,0.00
18.01.2021+00:0007:00,0.00
18.01.2021+00:0008:00,0.00
18.01.2021+00:0009:00,0.00
18.01.2021+00:0010:00,0.00
18.01.2021+00:0011:00,0.00
18.01.2021+00:0012:00,0.00
18.01.2021+00:0013:00,0.00
18.01.2021+00:0014:00,0.00
18.01.2021+00:0015:00,0.00
18.01.2021+00:0016:00,0.00
18.01.2021+00:0017:00,0.00
18.01.2021+00:0018:00,0.00
18.01.2021+00:0019:00,0.00
18.01.2021+00:0020:00,0.00
18.01.2021+00:0021:00,0.00
18.01.2021+00:0022:00,0.00
18.01.2021+00:0023:00,0.00
19.01.2021+00:0000:00,0.00
19.01.2021+00:0001:00,0.00
19.01.2021+00:0002:00,0.00
19.01.2021+00:0003:00,0.00
19.01.2021+00:0004:00,0.00
19.01.2021+00:0005:00,0.00
19.01.2021+00:0006:00,0.00
19.01.2021+00:0007:00,0.00
19.01.2021+00:0008:00,0.00
19.01.2021+00:0009:00,0.00
19.01.2021+00:0010:00,0.00
19.01.2021+00:0011:00,0.00
19.01.2021+00:0012:00,0.00
19.01.2021+00:0013:00,0.00
19.01.2021+00:0014:00,0.00
19.01.2021+00:0015:00,0.00
19.01.2021+00:0016:00,0.00
19.01.2021+00:0017:00,0.00
19.01.2021+00:0018:00,0.00
19.01.2021+00:0019:00,0.00
19.01.2021+00:0020:00,0.00
19.01.2021+00:0021:00,0.00
19.01.2021+00:0022:00,0.00
19.01.2021+00:0023:00,0.00
20.01.2021+00:0000:00,0.00
20.01.2021+00:0001:00,0.00
20.01.2021+00:0002:00,0.00
20.01.2021+00:0003:00,0.00
20.01.2021+00:0004:00,0.00
20.01.2021+00:0005:00,0.00
20.01.2021+00:0006:00,0.00
20.01.2021+00:0007:00,0.00
20.01.2021+00:0008:00,0.00
20.01.2021+00:0009:00,0.00
20.01.2021+00:0010:00,0.00
20.01.2021+00:0011:00,0.00
20.01.2021+00:0012:00,0.00
20.01.2021+00:0013:00,0.00
20.01.2021+00:0014:00,0.00
20.01.2021+00:0015:00,0.00
20.01.2021+00:0016:00,0.00
20.01.2021+00:0017:00,0.00
20.01.2021+00:0018:00,0.00
20.01.2021+00:0019:00,0.00
20.01.2021+00:0020:00,20604.48
