Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP,RRS,NSPIN,CROSSBORDER
2022-01-01,00:00,N,46.6,46.6,75.5,24.65599,3505.2
2022-01-01,01:00,N,41.32999,41.32999,75.5,0.0,0.0
2022-01-01,02:00,N,42.18,42.18,75.5,0.0,0.0
2022-01-01,03:00,N,44.36999,44.36999,75.5,0.0,0.0
2022-01-01,04:00,N,37.67,37.67,75.5,0.0,0.0
2022-01-01,05:00,N,39.7,39.7,75.5,0.0,0.0
2022-01-01,06:00,N,40.59,40.59,75.5,0.0,0.0
2022-01-01,07:00,N,43.25999,43.25999,82.2,37.39999,0.0
2022-01-01,08:00,N,43.14,49.65999,82.2,36.84,338.8
2022-01-01,09:00,N,43.13,65.48,85.2,36.84,29999.42
2022-01-01,10:00,N,50.0,76.53,85.2,36.84,42283.560000000005
2022-01-01,11:00,N,83.62999,83.62999,86.9,36.68,54047.619999999995
2022-01-01,12:00,N,65.0,94.73999,88.9,36.68,70360.8
2022-01-01,13:00,N,50.21,94.01999,88.9,0.0,72067.08
2022-01-01,14:00,N,56.0,97.17,88.9,0.0,73127.2
2022-01-01,15:00,N,101.27,101.27,83.4,0.0,78599.2
2022-01-01,16:00,N,102.0,126.59999,78.09999,33.508,116006.4
2022-01-01,17:00,N,102.0,149.97,78.09999,37.11999,150556.0
2022-01-01,18:00,N,102.0,146.33,77.79999,37.11999,147303.2
2022-01-01,19:00,N,80.0,140.28,77.59999,37.11999,139171.2
2022-01-01,20:00,N,84.0,161.0,83.09999,32.47599,111872.0
2022-01-01,21:00,N,102.61,201.0,88.9,32.41599,83600.0
2022-01-01,22:00,N,97.45999,253.0,88.9,32.356,79157.6
2022-01-01,23:00,N,85.15999,189.0,82.7,28.52,60858.4
2022-01-02,00:00,N,57.07999,103.7,75.09999,22.576,61239.0
2022-01-02,01:00,N,55.09,55.09,75.09999,0.0,56718.0
2022-01-02,02:00,N,52.82,52.82,75.09999,0.0,50580.4
2022-01-02,03:00,N,34.93999,34.93999,75.09999,0.0,2301.6
2022-01-02,04:00,N,29.55999,108.0,75.09999,0.0,0.0
2022-01-02,05:00,N,53.00999,96.0,75.09999,0.0,52169.6
2022-01-02,06:00,N,27.0,34.52,72.09999,0.0,0.0
2022-01-02,07:00,N,27.0,41.79999,78.9,29.51599,0.0
2022-01-02,08:00,N,32.10999,48.95,83.0,29.51599,0.0
2022-01-02,09:00,N,33.0,60.00999,83.0,29.51599,16447.2
2022-01-02,10:00,N,33.0,70.09,81.4,29.51599,31677.8
2022-01-02,11:00,N,66.26,66.26,86.0,29.51599,25025.0
2022-01-02,12:00,N,64.54,64.54,86.0,29.51599,20732.8
2022-01-02,13:00,N,46.96,80.0,86.0,0.0,0.0
2022-01-02,14:00,N,65.18999,90.0,86.0,0.0,43873.6
2022-01-02,15:00,N,74.98999,110.0,89.0,0.0,42540.799999999996
2022-01-02,16:00,N,88.15,88.15,89.0,32.37599,56098.96
2022-01-02,17:00,N,95.4,95.4,90.7,32.37599,67442.4
2022-01-02,18:00,N,86.70999,86.70999,90.7,32.37599,54248.8
2022-01-02,19:00,N,71.26999,71.26999,90.7,32.37599,32240.4
2022-01-02,20:00,N,30.0,54.11999,86.0,24.86799,8883.76
2022-01-02,21:00,N,27.0,46.15999,86.0,24.86799,0.0
2022-01-02,22:00,N,27.0,46.28999,80.9,24.86799,0.0
2022-01-02,23:00,N,24.5,32.93,72.09999,23.908,0.0
2022-01-03,00:00,N,15.0,20.89,68.5,22.78399,0.0
2022-01-03,01:00,N,15.0,19.92,68.5,0.0,0.0
2022-01-03,02:00,N,12.0,19.87,68.5,0.0,0.0
2022-01-03,03:00,N,12.0,19.82,68.5,0.0,0.0
2022-01-03,04:00,N,15.5,20.26,68.5,0.0,0.0
2022-01-03,05:00,N,16.0,160.0,68.5,40.17099,0.0
2022-01-03,06:00,N,80.0,160.0,69.2,40.03799,116313.0
2022-01-03,07:00,N,86.5,106.87,83.79999,40.03799,111822.0
2022-01-03,08:00,N,100.0,122.93,88.0,42.438,123329.64
2022-01-03,09:00,N,110.17,110.17,91.5,38.47999,121399.76
2022-01-03,10:00,N,100.0,101.98999,91.5,35.73599,98756.92
2022-01-03,11:00,N,102.38,102.38,91.5,37.816,105240.4
2022-01-03,12:00,N,106.06,120.0,91.5,38.216,129600.32
2022-01-03,13:00,N,110.06999,138.0,91.5,38.47999,135935.28
2022-01-03,14:00,N,101.97,133.0,91.5,37.816,116979.20000000001
2022-01-03,15:00,N,98.04999,150.0,91.5,37.816,90070.24
2022-01-03,16:00,N,120.55,234.0,88.0,37.34,115667.36
2022-01-03,17:00,N,139.56999,139.56999,85.0,39.07999,150711.52
2022-01-03,18:00,N,134.69,134.69,86.59999,39.07999,138627.75999999998
2022-01-03,19:00,N,114.81999,114.81999,88.0,33.47999,108687.51999999999
2022-01-03,20:00,N,92.90999,168.0,86.79999,31.3,99783.2
2022-01-03,21:00,N,72.39,480.0,83.79999,30.69999,69263.36
2022-01-03,22:00,N,49.29999,680.0,69.9,30.69999,84074.08
2022-01-03,23:00,N,34.39999,260.0,69.2,27.1,61833.76
2022-01-04,00:00,N,39.99,160.0,71.7,24.666,64729.36
2022-01-04,01:00,N,37.14,71.0,71.7,0.0,68072.0
2022-01-04,02:00,N,36.65999,83.01999,71.7,0.0,66984.88
2022-01-04,03:00,N,38.64,90.15,71.7,0.0,62839.6
2022-01-04,04:00,N,41.02,90.59999,71.7,0.0,62677.04
2022-01-04,05:00,N,93.96999,93.96999,69.4,36.898,78324.4
2022-01-04,06:00,N,122.39,156.0,67.2,39.34199,133292.24
2022-01-04,07:00,N,154.93,170.0,78.09999,39.40899,200648.76
2022-01-04,08:00,N,167.88,185.0,79.79999,47.85999,197766.88
2022-01-04,09:00,N,166.65,170.19,84.2,39.268,205101.2
2022-01-04,10:00,N,167.28999,169.0,84.2,39.268,204855.96000000002
2022-01-04,11:00,N,164.62,164.62,87.5,39.268,182751.8
2022-01-04,12:00,N,159.97999,168.0,87.5,39.268,190362.4
2022-01-04,13:00,N,155.69,163.0,87.5,39.268,185112.24
2022-01-04,14:00,N,155.16,164.33,87.5,39.268,183602.24
2022-01-04,15:00,N,158.44999,171.0,87.5,39.268,190875.68
2022-01-04,16:00,N,161.34999,177.5,87.5,39.268,177185.44
2022-01-04,17:00,N,167.75999,178.59999,87.5,39.268,197368.88
2022-01-04,18:00,N,164.46,178.59999,87.5,39.268,191871.84000000003
2022-01-04,19:00,N,153.88,170.0,87.5,39.268,159448.0
2022-01-04,20:00,N,146.81,147.0,87.5,30.978,148564.8
2022-01-04,21:00,N,128.75,128.75,85.09999,30.76399,121113.6
2022-01-04,22:00,N,112.95999,112.95999,77.0,30.684,97736.0
2022-01-04,23:00,N,84.10999,84.10999,72.4,30.404,53564.8
2022-01-05,00:00,N,93.87,93.87,67.0,22.884,72560.84
2022-01-05,01:00,N,85.29999,85.29999,67.0,0.0,104273.23999999999
2022-01-05,02:00,N,84.5,84.5,67.0,0.0,94420.4
2022-01-05,03:00,N,75.37999,75.37999,67.0,0.0,70829.0
2022-01-05,04:00,N,79.10999,79.10999,67.0,0.0,79692.8
2022-01-05,05:00,N,94.79,94.79,70.59999,34.942,70595.0
2022-01-05,06:00,N,121.92,121.92,67.79999,39.271,117679.2
2022-01-05,07:00,N,139.9,153.5,83.09999,44.216,154053.6
2022-01-05,08:00,N,147.74,160.0,84.4,50.216,147695.6
2022-01-05,09:00,N,141.47,149.0,84.4,39.268,154447.4
2022-01-05,10:00,N,135.97,149.0,84.4,39.268,129262.8
2022-01-05,11:00,N,129.99,149.0,84.4,39.268,118703.2
2022-01-05,12:00,N,150.31,150.31,84.4,39.268,175604.7
2022-01-05,13:00,N,134.71,134.71,84.4,39.268,134668.5
2022-01-05,14:00,N,149.91999,149.91999,84.4,39.268,187557.3
2022-01-05,15:00,N,160.00999,160.00999,84.4,39.268,214065.9
2022-01-05,16:00,N,137.28,137.28,84.4,39.268,135175.5
2022-01-05,17:00,N,148.09,148.09,84.4,39.268,152739.9
2022-01-05,18:00,N,139.88,139.88,84.4,39.268,140652.9
2022-01-05,19:00,N,135.75,135.75,84.4,39.268,135619.2
2022-01-05,20:00,N,119.93,119.93,81.79999,28.27199,112669.2
2022-01-05,21:00,N,98.09,98.09,71.29999,26.844,80401.5
2022-01-05,22:00,N,118.70999,118.70999,67.79999,27.14399,115515.0
2022-01-05,23:00,N,97.29,97.29,70.59999,25.87999,83155.5
2022-01-06,00:00,N,93.29,93.29,68.4,22.884,68922.17
2022-01-06,01:00,N,80.76999,80.76999,68.4,0.0,57149.4
2022-01-06,02:00,N,78.07999,78.07999,68.4,0.0,52931.21
2022-01-06,03:00,N,81.96999,81.96999,68.4,0.0,53725.07000000001
2022-01-06,04:00,N,89.31,89.31,68.4,0.0,57273.15
2022-01-06,05:00,N,89.75,89.75,72.0,40.52199,55820.85
2022-01-06,06:00,N,97.06,97.06,83.59999,40.97099,72815.85
2022-01-06,07:00,N,110.87,110.87,89.59999,44.97099,90521.55
2022-01-06,08:00,N,136.88,136.88,82.5,48.704,127910.55
2022-01-06,09:00,N,205.87,205.87,87.79999,39.268,236106.9
2022-01-06,10:00,N,105.0,209.25,90.09999,36.636,240989.1
2022-01-06,11:00,N,154.0,224.71,91.09999,36.636,265214.7
2022-01-06,12:00,N,218.99,267.0,91.09999,36.636,255311.25
2022-01-06,13:00,N,150.0,209.47,91.09999,36.636,231533.7
2022-01-06,14:00,N,146.0,209.36,91.09999,36.636,239335.95
2022-01-06,15:00,N,146.0,225.22999,91.09999,36.636,263159.85
2022-01-06,16:00,N,146.0,245.94999,91.09999,36.636,295743.9
2022-01-06,17:00,N,146.0,264.74,91.09999,37.53999,328775.1
2022-01-06,18:00,N,148.5,270.06999,91.09999,39.268,336203.7
2022-01-06,19:00,N,142.0,220.31999,91.09999,36.636,259189.2
2022-01-06,20:00,N,142.0,217.91,91.09999,30.344,256531.8
2022-01-06,21:00,N,142.0,203.31,91.09999,29.14399,234191.1
2022-01-06,22:00,N,171.31,171.31,79.59999,29.14399,184210.35
2022-01-06,23:00,N,124.7,154.0,65.2,30.978,113449.35
2022-01-07,00:00,N,128.91999,142.0,64.5,24.666,124940.2
2022-01-07,01:00,N,116.65,116.65,64.5,0.0,106044.4
2022-01-07,02:00,N,100.54,100.54,68.0,0.0,80742.2
2022-01-07,03:00,N,99.46999,135.0,68.0,0.0,78201.2
2022-01-07,04:00,N,101.73999,133.0,68.0,0.0,80819.2
2022-01-07,05:00,N,67.07999,130.0,71.59999,46.15299,100069.2
2022-01-07,06:00,N,125.0,140.19,68.09999,43.456,138415.2
2022-01-07,07:00,N,130.0,170.53,71.79999,59.988,205405.6
2022-01-07,08:00,N,130.0,175.66,73.5,48.567,207972.0
2022-01-07,09:00,N,132.0,161.84999,73.5,36.636,167444.2
2022-01-07,10:00,N,132.0,161.37,75.59999,36.436,166812.8
2022-01-07,11:00,N,145.0,166.06,75.59999,36.436,173404.0
2022-01-07,12:00,N,152.0,166.53999,75.59999,36.436,173419.4
2022-01-07,13:00,N,166.03999,166.03999,75.59999,36.436,171994.2
2022-01-07,14:00,N,169.43,169.43,75.59999,36.436,181291.0
2022-01-07,15:00,N,189.69999,295.0,72.0,36.436,210742.0
2022-01-07,16:00,N,201.97,295.0,75.59999,36.436,224053.8
2022-01-07,17:00,N,150.5,295.0,75.59999,36.636,286732.6
2022-01-07,18:00,N,150.0,247.72,75.59999,36.636,295649.2
2022-01-07,19:00,N,150.0,200.88999,75.59999,36.436,240784.8
2022-01-07,20:00,N,150.0,224.33,75.59999,30.26,339166.0
2022-01-07,21:00,N,144.0,213.81,73.5,30.26,314987.4
2022-01-07,22:00,N,144.0,185.94,88.09999,30.84,242960.0
2022-01-07,23:00,N,144.75999,149.83,74.2,29.05999,141741.6
2022-01-08,00:00,N,160.71,160.71,72.09999,27.78,178431.2
2022-01-08,01:00,N,146.08,146.08,69.79999,0.0,148240.4
2022-01-08,02:00,N,123.5,144.63999,68.09999,0.0,146392.4
2022-01-08,03:00,N,124.0,146.9,68.09999,0.0,151742.2
2022-01-08,04:00,N,125.09999,150.06999,68.09999,0.0,159152.2
2022-01-08,05:00,N,130.5,154.3,68.09999,45.0,170665.6
2022-01-08,06:00,N,124.0,166.0,70.5,39.79999,204000.8
2022-01-08,07:00,N,121.5,182.91,83.7,42.79999,249713.4
2022-01-08,08:00,N,121.5,182.03,83.7,42.79999,238525.2
2022-01-08,09:00,N,129.55,181.02,83.7,36.78,233189.2
2022-01-08,10:00,N,142.0,170.03999,89.09999,37.88,199599.8
2022-01-08,11:00,N,158.5,172.0,89.09999,35.97999,168044.8
2022-01-08,12:00,N,158.78999,172.0,89.09999,35.97999,168491.4
