Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP,RRS,NSPIN,CROSSBORDER
2021-01-01,00:00,N,18.5,24.94999,82.79999,20.51599,0.0
2021-01-01,01:00,N,24.35,24.35,84.09999,0.0,0.0
2021-01-01,02:00,N,23.98,23.98,84.09999,0.0,0.0
2021-01-01,03:00,N,23.71999,23.71999,84.09999,0.0,0.0
2021-01-01,04:00,N,23.73,23.73,85.79999,0.0,0.0
2021-01-01,05:00,N,24.05999,24.05999,85.9,25.32799,0.0
2021-01-01,06:00,N,24.44,24.44,85.7,25.55,0.0
2021-01-01,07:00,N,24.93,24.93,85.59999,25.776,0.0
2021-01-01,08:00,N,24.89999,24.89999,85.59999,25.22299,0.0
2021-01-01,09:00,N,21.0,25.07,85.59999,0.0,0.0
2021-01-01,10:00,N,21.0,25.62999,85.5,0.0,4460.24
2021-01-01,11:00,N,23.0,25.92,85.5,0.0,11399.52
2021-01-01,12:00,N,24.19999,26.12999,87.5,0.0,13126.72
2021-01-01,13:00,N,24.19999,26.57,87.5,20.87999,14244.32
2021-01-01,14:00,N,24.19999,27.3,87.5,19.084,13705.84
2021-01-01,15:00,N,28.60999,28.60999,85.0,19.3,17129.76
2021-01-01,16:00,N,30.25,30.25,85.0,19.3,21813.52
2021-01-01,17:00,N,25.6,30.19,85.0,19.3,25603.2
2021-01-01,18:00,N,25.6,28.82,83.0,19.3,24577.04
2021-01-01,19:00,N,25.0,28.25,83.0,19.3,27929.84
2021-01-01,20:00,N,24.0,27.32,85.5,18.788,28061.92
2021-01-01,21:00,N,22.87,28.25,85.5,19.04799,26449.02
2021-01-01,22:00,N,22.87,27.01,85.5,19.34199,20080.260000000002
2021-01-01,23:00,N,22.64,25.64,82.5,17.856,0.0
2021-01-02,00:00,N,21.96999,25.59,85.59999,20.416,0.0
2021-01-02,01:00,N,21.0,24.91,85.59999,0.0,0.0
2021-01-02,02:00,N,20.05999,24.73999,85.59999,0.0,0.0
2021-01-02,03:00,N,20.05999,24.66,85.59999,0.0,0.0
2021-01-02,04:00,N,21.0,24.71999,85.59999,0.0,0.0
2021-01-02,05:00,N,21.0,24.92,85.59999,0.0,0.0
2021-01-02,06:00,N,20.0,25.62,85.59999,0.0,4500.88
2021-01-02,07:00,N,20.53,26.19,84.79999,17.6,0.0
2021-01-02,08:00,N,22.0,28.02,84.7,17.6,15524.48
2021-01-02,09:00,N,22.0,27.64999,84.59999,17.6,20523.2
2021-01-02,10:00,N,22.0,28.82999,84.5,0.0,22270.72
2021-01-02,11:00,N,22.92,29.76,83.0,0.0,21478.24
2021-01-02,12:00,N,23.0,28.62,83.0,0.0,25532.08
2021-01-02,13:00,N,23.0,28.71999,83.0,0.0,22382.48
2021-01-02,14:00,N,24.0,36.72999,84.9,0.0,34592.4
2021-01-02,15:00,N,25.0,46.04999,69.7,0.0,23623.36
2021-01-02,16:00,N,58.88,58.88,66.29999,20.89199,0.0
2021-01-02,17:00,N,60.50999,60.50999,69.79999,20.875,0.0
2021-01-02,18:00,N,59.84,59.84,69.79999,19.742,1747.52
2021-01-02,19:00,N,40.14999,40.14999,74.7,21.108,44455.92
2021-01-02,20:00,N,27.37999,29.5,84.9,20.033,28072.08
2021-01-02,21:00,N,31.14999,31.14999,82.9,16.83299,33357.6
2021-01-02,22:00,N,27.91,27.91,83.0,16.6,22453.12
2021-01-02,23:00,N,25.94,25.94,79.29999,16.6,13837.92
2021-01-03,00:00,N,25.27,27.14,76.59999,20.1,0.0
2021-01-03,01:00,N,24.59,27.0,76.59999,0.0,0.0
2021-01-03,02:00,N,23.85999,27.0,76.7,0.0,0.0
2021-01-03,03:00,N,23.57,23.57,76.7,0.0,0.0
2021-01-03,04:00,N,23.48999,23.48999,76.7,0.0,0.0
2021-01-03,05:00,N,23.85,23.85,78.4,0.0,0.0
2021-01-03,06:00,N,24.05,24.05,78.4,0.0,0.0
2021-01-03,07:00,N,23.0,24.8,78.29999,21.6,0.0
2021-01-03,08:00,N,22.0,24.96999,80.29999,21.6,0.0
2021-01-03,09:00,N,22.0,25.64999,79.5,21.6,0.0
2021-01-03,10:00,N,22.0,26.0,79.4,0.0,10810.24
2021-01-03,11:00,N,22.0,26.07,79.29999,0.0,10830.56
2021-01-03,12:00,N,20.48,25.87,79.29999,0.0,11135.36
2021-01-03,13:00,N,20.05999,25.82999,79.29999,0.0,10647.68
2021-01-03,14:00,N,20.05999,26.02,79.29999,0.0,9682.48
2021-01-03,15:00,N,20.53,26.5,79.29999,0.0,10424.16
2021-01-03,16:00,N,23.0,28.05,79.29999,24.308,15524.48
2021-01-03,17:00,N,28.53,28.53,79.2,24.27499,16174.72
2021-01-03,18:00,N,28.17,28.17,77.2,23.675,15422.88
2021-01-03,19:00,N,27.92,27.92,77.2,23.425,14762.48
2021-01-03,20:00,N,24.5,27.55999,77.5,23.01699,9540.24
2021-01-03,21:00,N,24.0,28.12,76.5,20.417,9746.720000000001
2021-01-03,22:00,N,24.0,26.18,76.5,20.1,0.0
2021-01-03,23:00,N,24.92,24.92,74.5,16.6,0.0
2021-01-04,00:00,N,20.0,24.66,77.79999,19.69999,0.0
2021-01-04,01:00,N,20.0,24.05,78.0,0.0,0.0
2021-01-04,02:00,N,19.1,23.87999,78.29999,0.0,0.0
2021-01-04,03:00,N,19.1,24.03,78.4,0.0,0.0
2021-01-04,04:00,N,20.05999,24.57999,78.5,0.0,0.0
2021-01-04,05:00,N,23.0,25.84,82.7,27.727,0.0
2021-01-04,06:00,N,24.0,28.21,84.4,26.03999,0.0
2021-01-04,07:00,N,26.0,49.75999,78.09999,26.23999,51624.3
2021-01-04,08:00,N,54.42,94.07999,78.0,26.227,14250.6
2021-01-04,09:00,N,50.71999,70.0,76.79999,0.0,6960.52
2021-01-04,10:00,N,55.39999,67.2,75.79999,0.0,0.0
2021-01-04,11:00,N,56.53,57.29999,79.4,0.0,0.0
2021-01-04,12:00,N,52.07,52.07,80.5,0.0,0.0
2021-01-04,13:00,N,56.53,60.0,76.2,20.85999,0.0
2021-01-04,14:00,N,57.99,60.09,74.7,20.8,0.0
2021-01-04,15:00,N,58.03,60.47999,74.7,21.02,0.0
2021-01-04,16:00,N,60.5,61.0,69.29999,25.475,0.0
2021-01-04,17:00,N,65.21999,66.0,65.79999,25.442,0.0
2021-01-04,18:00,N,60.04999,66.0,72.2,24.84199,0.0
2021-01-04,19:00,N,53.72999,63.17,74.29999,19.0,0.0
2021-01-04,20:00,N,37.68,50.0,84.9,19.0,0.0
2021-01-04,21:00,N,38.49,42.97999,87.7,19.0,10019.1
2021-01-04,22:00,N,30.94999,35.0,84.09999,19.87,0.0
2021-01-04,23:00,N,27.35,29.87999,82.2,20.46999,0.0
2021-01-05,00:00,N,27.80999,27.80999,78.79999,18.6,0.0
2021-01-05,01:00,N,27.44999,27.44999,76.59999,0.0,0.0
2021-01-05,02:00,N,27.07999,27.07999,78.79999,0.0,0.0
2021-01-05,03:00,N,27.14,28.0,78.79999,0.0,0.0
2021-01-05,04:00,N,27.78999,28.0,78.9,0.0,0.0
2021-01-05,05:00,N,29.80999,31.5,77.5,26.67299,0.0
2021-01-05,06:00,N,35.78,37.0,80.5,26.573,0.0
2021-01-05,07:00,N,53.64,54.14,78.79999,27.1,0.0
2021-01-05,08:00,N,60.0,66.85999,84.09999,29.89999,0.0
2021-01-05,09:00,N,60.11999,66.85999,83.9,0.0,0.0
2021-01-05,10:00,N,61.18,70.0,81.5,0.0,0.0
2021-01-05,11:00,N,62.46,80.67,81.2,0.0,0.0
2021-01-05,12:00,N,61.47999,80.67,83.7,0.0,0.0
2021-01-05,13:00,N,62.28999,87.0,83.7,22.62,0.0
2021-01-05,14:00,N,62.03999,87.0,81.2,22.69,0.0
2021-01-05,15:00,N,62.50999,75.59999,81.2,23.14,0.0
2021-01-05,16:00,N,64.26,75.0,75.4,26.975,0.0
2021-01-05,17:00,N,65.59999,75.0,69.09999,26.942,0.0
2021-01-05,18:00,N,60.13,87.0,75.59999,26.34199,0.0
2021-01-05,19:00,N,54.65999,87.0,80.09999,23.308,0.0
2021-01-05,20:00,N,40.78,87.0,87.4,21.675,0.0
2021-01-05,21:00,N,39.6,87.0,87.5,21.808,0.0
2021-01-05,22:00,N,32.06,64.46999,83.79999,22.00799,0.0
2021-01-05,23:00,N,29.21,39.0,78.4,20.975,0.0
2021-01-06,00:00,N,29.82999,35.0,70.59999,18.6,0.0
2021-01-06,01:00,N,28.71999,35.0,66.59999,0.0,0.0
2021-01-06,02:00,N,28.10999,35.0,66.59999,0.0,0.0
2021-01-06,03:00,N,27.98,34.0,66.59999,0.0,0.0
2021-01-06,04:00,N,28.16,37.0,66.59999,0.0,0.0
2021-01-06,05:00,N,29.0,37.0,66.59999,25.69999,0.0
2021-01-06,06:00,N,30.71999,40.0,66.79999,26.81299,0.0
2021-01-06,07:00,N,35.53999,40.0,66.79999,26.61799,0.0
